route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_sequence,customer_sequence,depart_min,depart_time,return_min,return_time,total_weight_kg,total_volume_m3,total_distance_km,fixed_cost,energy_cost,carbon_cost,penalty_cost,total_cost
18,T0018,E1-007,E1,11,8,855.9598909148134,14:16,967.7730995541436,16:08,2937.388405,9.006755,66.0548965441108,0.0,42.879643509736994,8.514485310332837,153.9953113910866,205.38944021115643
19,T0019,E1-008,E1,12,8,855.9598909148134,14:16,967.7730995541436,16:08,2937.388405,9.006755,66.0548965441108,0.0,42.879643509736994,8.514485310332837,153.9953113910866,205.38944021115643
20,T0020,F1-001,F1,13,8,595.5326058531044,09:56,786.4420776911993,13:06,2937.388405,9.006755,66.0548965441108,400.0,159.24293117902408,34.643184587836174,0.0,593.8861157668603
21,T0021,F1-001,F1,55,46,786.4420776911993,13:06,974.859275729794,16:15,1659.91985,5.44331,130.3961910751898,0.0,280.6685925796694,61.059249467184195,105.1511848791292,446.87902692598277
22,T0022,E1-004,E1,56,46,862.7339899240231,14:23,1082.7955115059285,18:03,1659.91985,5.44331,130.3961910751898,0.0,79.19390929881027,15.72530278241315,184.40855402669902,279.32776610792246
23,T0023,E1-006,E1,89,59,867.78515209098,14:28,1147.9037311238658,19:08,2935.7956,7.748356666666667,164.154552852561,0.0,106.43616999685436,21.13471875577782,191.49141940226042,319.0623081548926
24,T0024,E1-002,E1,90,59,883.9377270957391,14:44,1173.136425975933,19:33,2935.7956,7.748356666666667,164.154552852561,0.0,106.40304497659895,21.12814121745698,212.5186651123164,340.0498513063723
25,T0025,F1-002,F1,91,59,558.9577470962598,09:19,853.9898116740837,14:14,2935.7956,7.748356666666667,164.154552852561,400.0,384.9856619780972,83.75335252139801,0.0,868.7390144994952
26,T0026,E1-003,E1,17->25,11->27,958.2518177683079,15:58,1288.3635387774118,21:28,2942.33215,8.183015,171.1659153953714,0.0,109.28599323802244,21.700599815830497,237.92622862352536,368.9128216773783
27,T0027,F1-003,F1,117->145,70->94,480.0,08:00,890.3142813899766,14:50,2846.5115,8.200815,212.8729960144284,400.0,509.174002103439,110.77043616062399,0.0,1019.944438264063
28,T0028,F1-004,F1,118,70,480.0,08:00,900.4201238829876,15:00,2837.3255,8.182865,240.481206424296,400.0,561.8887748394251,122.23849687061895,0.0,1084.127271710044
29,T0029,F1-002,F1,5,6,853.9898116740837,14:14,986.9600133190628,16:27,2236.8216,5.991599999999999,81.2762683367306,0.0,181.58922222797563,39.50460405512813,99.2348498444658,320.32867612756957
30,T0030,F1-005,F1,6,6,625.5511850253697,10:26,814.5223878861108,13:35,2236.8216,5.991599999999999,81.2762683367306,400.0,185.98196935331356,40.460243017461,0.0,626.4422123707747
31,T0031,F1-005,F1,19->69,13->52,814.5223878861108,13:35,1090.4062023708273,18:10,2778.5495333333333,6.9755866666666675,160.8881918970892,0.0,361.4125522331667,78.6250395334585,61.237180508165544,501.27477227479073
32,T0032,F1-006,F1,96,61,606.5307972576402,10:07,837.6855294227765,13:58,2004.6885,6.13507,113.846992569318,400.0,255.62017054504264,55.60998335687849,0.0,711.2301539019211
33,T0033,F1-006,F1,97,61,837.6855294227765,13:58,1015.9275103900299,16:56,2004.6885,6.13507,113.846992569318,0.0,250.97112227195726,54.598586265090525,63.70584017720139,369.27554871424917
34,T0034,F1-007,F1,98,61,606.5307972576402,10:07,837.6855294227765,13:58,2004.6885,6.13507,113.846992569318,400.0,255.62017054504264,55.60998335687849,0.0,711.2301539019211
35,T0035,F1-007,F1,45,41,837.6855294227765,13:58,1013.3890957432111,16:53,2786.4185,7.85191,112.0207333701614,0.0,258.172675655169,56.16527899880619,56.213559044369866,370.551513698345
36,T0036,F1-008,F1,7->34->147,7->32->97,604.2270162692156,10:04,1020.3944044720488,17:00,2947.5584666666664,7.245263333333334,210.5779445209951,400.0,468.9920801736329,102.02888808560553,0.0,971.0209682592385
37,T0037,E1-009,E1,8,7,962.8424069408229,16:03,1193.6991088656691,19:54,2487.7442666666666,6.078013333333334,124.4054541356592,0.0,78.8143164434842,15.64992814013453,183.5589649193717,278.0232095029904
38,T0038,E1-007,E1,9,7,967.7730995541436,16:08,1198.6298014789897,19:59,2487.7442666666666,6.078013333333334,124.4054541356592,0.0,78.8143164434842,15.64992814013453,187.6678754304722,282.13212001409096
39,T0039,E1-008,E1,144->128->4,93->77->5,967.7730995541436,16:08,1341.3634791209247,22:21,2797.5634,7.74338,185.01832394440072,0.0,122.35922370328979,24.29651292620507,230.78675031112257,377.4424869406174
40,T0040,F1-003,F1,61,49,890.3142813899766,14:50,961.5744215144193,16:02,2243.418,6.769475,33.455912679079,0.0,75.26804836505815,16.374509523097505,59.35162761859876,150.9941855067544
41,T0041,F1-004,F1,62,49,900.4201238829876,15:00,977.1250606271892,16:17,2243.418,6.769475,33.455912679079,0.0,75.83086079938101,16.496948961421186,72.31049354590701,164.6383033067092
42,T0042,F1-009,F1,123,74,620.512635389442,10:21,882.4313328610082,14:42,1862.9861,5.46936,131.671756907125,400.0,293.12605190725907,63.76936074048131,0.0,756.8954126477404
43,T0043,F1-009,F1,124,74,882.4313328610082,14:42,1115.7276305548376,18:36,1862.9861,5.46936,131.671756907125,0.0,290.8805231226884,63.280847576316255,111.78449657315213,465.94586727215676
44,T0044,F1-010,F1,122,73,626.039385461931,10:26,901.3956427866566,15:01,2996.466,7.5462,145.4268584882548,400.0,344.8403415587055,75.01976707851708,0.0,819.8601086372225
45,T0045,F1-010,F1,141->67,90->51,901.3956427866566,15:01,1206.267392790585,20:06,1804.80095,5.106185,156.2743325023178,0.0,362.1344183276983,78.78208098060723,92.77486624161091,533.6913655499164
46,T0046,F1-011,F1,82,56,656.6634364689803,10:57,958.2518177683081,15:58,2355.0536333333334,5.909806666666667,160.90381163327,400.0,367.22952509337574,79.8905177750773,0.0,847.1200428684531
47,T0047,F1-012,F1,84,56,656.6634364689803,10:57,958.2518177683081,15:58,2355.0536333333334,5.909806666666667,160.90381163327,400.0,367.22952509337574,79.8905177750773,0.0,847.1200428684531
48,T0048,F1-013,F1,42,39,656.590934269691,10:57,1014.5616081031903,16:55,2012.4458,5.003585,194.1693642284312,400.0,434.0731796414362,94.43230651187643,0.0,928.5054861533125
49,T0049,F1-014,F1,43,39,656.590934269691,10:57,1014.5616081031903,16:55,2012.4458,5.003585,194.1693642284312,400.0,434.0731796414362,94.43230651187643,0.0,928.5054861533125
50,T0050,F1-011,F1,105,64,958.2518177683081,15:58,1142.5707289510592,19:03,2949.9224,7.1290933333333335,96.9481575978232,0.0,228.74514409335922,49.76334077578987,112.84272779973644,391.3512126688855
51,T0051,F1-012,F1,106,64,958.2518177683081,15:58,1142.5707289510592,19:03,2949.9224,7.1290933333333335,96.9481575978232,0.0,228.74514409335922,49.76334077578987,112.84272779973644,391.3512126688855
52,T0052,F1-003,F1,107,64,961.5744215144193,16:02,1145.8933326971703,19:06,2949.9224,7.1290933333333335,96.9481575978232,0.0,228.74514409335924,49.76334077578987,115.61156425482902,394.12004912397816
53,T0053,F1-015,F1,88,58,793.7467254643815,13:14,966.0058215203305,16:06,2933.964,9.72773,118.4402027273234,400.0,274.2240542107692,59.6572448027121,0.0,733.8812990134813
54,T0054,F1-016,F1,2->146->76,3->95->54,797.6656922307237,13:18,1222.8906369131187,20:23,2817.2542000000003,7.55858,192.17434753144917,400.0,443.21572657595664,96.42126098985875,28.596562283224365,968.2335498490397
55,T0055,F1-015,F1,125,75,966.0058215203305,16:06,1218.1113895751748,20:18,1508.7203,3.92876,136.9422851523582,0.0,297.1671013451048,64.64848812508387,114.21550462312723,476.0310940933159
56,T0056,F1-017,F1,126,75,790.709429392934,13:11,992.6205806375917,16:33,1508.7203,3.92876,136.9422851523582,400.0,292.5048509155917,63.63421891370668,0.0,756.1390698292985
57,T0057,F1-001,F1,85,57,974.859275729794,16:15,1097.0856875658444,18:17,2203.217666666667,5.638176666666666,60.3135829832696,0.0,136.38749759483892,29.671001529978398,55.810401373182685,221.86890049800002
