iteration,current_cost,current_score,best_cost,best_score,candidate_cost,candidate_score,candidate_late_stop_count,candidate_max_late_min,candidate_return_after_midnight_count,accepted,destroy_operator,repair_operator
18,52301.23325624424,63163.995445836656,52301.23325624424,63163.995445836656,52301.23325624424,63163.995445836656,17,124.92292742043082,0,True,actual_late_remove,greedy_insert
19,52301.23325624424,63163.995445836656,52301.23325624424,63163.995445836656,52998.06219265313,64212.626432918405,17,151.53182423247517,0,False,actual_late_remove,time_oriented_insert
20,52468.395611850196,63491.63472933132,52301.23325624424,63163.995445836656,52468.395611850196,63491.63472933132,17,126.42525403773834,0,True,midnight_route_remove,time_oriented_insert
21,53229.44048212874,64235.98557632921,52301.23325624424,63163.995445836656,53229.44048212874,64235.98557632921,17,126.42525403773834,0,True,midnight_route_remove,regret2_insert
22,51748.496988596125,62212.26585291919,51748.496988596125,62212.26585291919,51748.496988596125,62212.26585291919,16,126.42525403773834,0,True,midnight_route_remove,regret2_insert
23,51748.496988596125,62212.26585291919,51748.496988596125,62212.26585291919,53136.634793068966,63677.36337239187,15,182.86009720759364,0,False,random_remove,time_oriented_insert
24,53459.00783394488,63922.77669824058,51748.496988596125,62212.26585291919,53459.00783394488,63922.77669824058,16,126.42525403773834,0,True,midnight_route_remove,regret2_insert
25,53459.00783394488,63922.77669824058,51748.496988596125,62212.26585291919,53840.50537907446,65267.87664144678,17,162.9994864680108,0,False,related_remove,greedy_insert
26,53459.00783394488,63922.77669824058,51748.496988596125,62212.26585291919,53459.00783394488,63922.77669824058,16,126.42525403773834,0,True,time_penalty_remove,time_oriented_insert
27,53459.00783394488,63922.77669824058,51748.496988596125,62212.26585291919,53459.00783394488,63922.77669824058,16,126.42525403773834,0,True,time_penalty_remove,time_oriented_insert
28,53013.572722474746,63477.341586770446,51748.496988596125,62212.26585291919,53013.572722474746,63477.341586770446,16,126.42525403773834,0,True,late_suffix_remove,time_oriented_insert
29,53013.572722474746,63477.341586770446,51748.496988596125,62212.26585291919,53013.572722474746,63477.341586770446,16,126.42525403773834,0,True,time_penalty_remove,time_oriented_insert
30,52709.639676973056,63185.39997338966,51748.496988596125,62212.26585291919,52709.639676973056,63185.39997338966,16,126.42525403773834,0,True,related_remove,greedy_insert
31,53155.07478844319,63630.8350848598,51748.496988596125,62212.26585291919,53155.07478844319,63630.8350848598,16,126.42525403773834,0,True,late_suffix_remove,greedy_insert
32,50548.85969981487,60743.94389460045,50548.85969981487,60743.94389460045,50548.85969981487,60743.94389460045,16,124.92292742043082,0,True,midnight_route_remove,time_oriented_insert
33,50678.5225997973,60245.35225949149,50548.85969981487,60743.94389460045,50678.5225997973,60245.35225949149,15,124.92292742043082,0,True,late_route_split,greedy_insert
34,50151.01195134192,59215.679163437286,50151.01195134192,59215.679163437286,50151.01195134192,59215.679163437286,14,124.92292742043082,0,True,late_route_split,greedy_insert
35,50151.01195134192,59215.679163437286,50151.01195134192,59215.679163437286,50151.01195134192,59215.679163437286,14,124.92292742043082,0,True,late_suffix_remove,time_oriented_insert
36,50957.43110792275,61152.51530270833,50151.01195134192,59215.679163437286,50957.43110792275,61152.51530270833,16,124.92292742043082,0,True,worst_cost_remove,regret2_insert
37,50970.04107481869,60662.96282200546,50151.01195134192,59215.679163437286,50970.04107481869,60662.96282200546,15,124.92292742043082,0,True,related_remove,regret2_insert
38,49907.42241953688,57328.30408501949,49907.42241953688,57328.30408501949,49907.42241953688,57328.30408501949,11,124.92292742043082,0,True,actual_late_remove,greedy_insert
