route_index,trip_id,physical_vehicle_id,vehicle_type,stop_index,service_node_id,customer_id,earliest_min,latest_min,arrival_min,arrival_time,wait_min,late_min,service_start_min,departure_min,departure_time,load_before_service_kg,load_after_service_kg,penalty_cost
76,T0076,F1-001,F1,1,59,48,966.0,1048.0,1016.8626768669778,16:57,0.0,0.0,1016.8626768669778,1036.8626768669778,17:17,2866.2425333333335,0.0,0.0
77,T0077,F1-002,F1,1,60,48,966.0,1048.0,994.3747193369211,16:34,0.0,0.0,994.3747193369211,1014.3747193369211,16:54,2866.2425333333335,0.0,0.0
78,T0078,E1-009,E1,1,23,25,979.0,1049.0,1046.1067955026624,17:26,0.0,0.0,1046.1067955026624,1066.1067955026624,17:46,2528.1351,0.0,0.0
79,T0079,F1-012,F1,1,142,91,1000.0,1079.0,1065.0563768488048,17:45,0.0,0.0,1065.0563768488048,1085.0563768488048,18:05,2795.8023,2725.3673,0.0
79,T0079,F1-012,F1,2,128,77,1136.0,1217.0,1094.5027090709727,18:15,41.49729092902726,0.0,1136.0,1156.0,19:16,2725.3673,757.1005,13.832430309675752
79,T0079,F1-012,F1,3,148,98,1158.0,1241.0,1178.5483327314223,19:39,0.0,0.0,1178.5483327314223,1198.5483327314223,19:59,757.1005,731.6005,0.0
79,T0079,F1-012,F1,4,4,5,1168.0,1226.0,1257.5955842286073,20:58,0.0,31.595584228607322,1257.5955842286073,1277.5955842286073,21:18,731.6005,0.0,26.329653523839436
80,T0080,F1-006,F1,1,31,31,1009.0,1066.0,1009.0,16:49,0.0,0.0,1009.0,1029.0,17:09,2257.2069333333334,0.0,0.0
81,T0081,F1-011,F1,1,32,31,1009.0,1066.0,1022.8999362406942,17:03,0.0,0.0,1022.8999362406942,1042.8999362406942,17:23,2257.2069333333334,0.0,0.0
82,T0082,F1-019,F1,1,33,31,1009.0,1066.0,1009.0,16:49,0.0,0.0,1009.0,1029.0,17:09,2257.2069333333334,0.0,0.0
83,T0083,E1-008,E1,1,49,43,1013.0,1097.0,1057.9321860754671,17:38,0.0,0.0,1057.9321860754671,1077.9321860754671,17:58,2530.79035,0.0,0.0
84,T0084,F1-007,F1,1,50,43,1013.0,1097.0,1095.2675481255533,18:15,0.0,0.0,1095.2675481255533,1115.2675481255533,18:35,2530.79035,0.0,0.0
85,T0085,F1-009,F1,1,51,44,1021.0,1109.0,1105.1499888916208,18:25,0.0,0.0,1105.1499888916208,1125.1499888916208,18:45,2276.15445,0.0,0.0
86,T0086,F1-015,F1,1,52,44,1021.0,1109.0,1107.3724289018398,18:27,0.0,0.0,1107.3724289018398,1127.3724289018398,18:47,2276.15445,0.0,0.0
87,T0087,F1-013,F1,1,66,51,1053.0,1119.0,1118.3654800770441,18:38,0.0,0.0,1118.3654800770441,1138.3654800770441,18:58,1704.19215,0.0,0.0
88,T0088,F1-016,F1,1,67,51,1053.0,1119.0,1096.3634215822444,18:16,0.0,0.0,1096.3634215822444,1116.3634215822444,18:36,1704.19215,0.0,0.0
89,T0089,F1-028,F1,1,25,27,1071.0,1147.0,1071.0,17:51,0.0,0.0,1071.0,1091.0,18:11,1616.80205,0.0,0.0
90,T0090,F1-022,F1,1,44,40,1072.0,1144.0,1117.1439725788957,18:37,0.0,0.0,1117.1439725788957,1137.1439725788957,18:57,2691.1358,0.0,0.0
91,T0091,F1-005,F1,1,1,2,1073.0,1129.0,1128.0049249083816,18:48,0.0,0.0,1128.0049249083816,1148.0049249083816,19:08,1894.8825000000002,1879.9925,0.0
91,T0091,F1-005,F1,2,15,10,1180.0,1229.0,1170.0647706383957,19:30,9.935229361604343,0.0,1180.0,1200.0,20:00,1879.9925,0.0,3.3117431205347807
92,T0092,F1-023,F1,1,77,55,1075.0,1152.0,1132.3322112495196,18:52,0.0,0.0,1132.3322112495196,1152.3322112495196,19:12,2439.52946,0.0,0.0
93,T0093,F1-030,F1,1,78,55,1075.0,1152.0,1075.0,17:55,0.0,0.0,1075.0,1095.0,18:15,2439.52946,0.0,0.0
94,T0094,F1-031,F1,1,79,55,1075.0,1152.0,1075.0,17:55,0.0,0.0,1075.0,1095.0,18:15,2439.52946,0.0,0.0
95,T0095,F1-032,F1,1,80,55,1075.0,1152.0,1075.0,17:55,0.0,0.0,1075.0,1095.0,18:15,2439.52946,0.0,0.0
96,T0096,F1-033,F1,1,81,55,1075.0,1152.0,1075.0,17:55,0.0,0.0,1075.0,1095.0,18:15,2439.52946,0.0,0.0
97,T0097,E1-002,E1,1,71,53,1079.0,1132.0,1111.1040600303393,18:31,0.0,0.0,1111.1040600303393,1131.1040600303393,18:51,2321.281966666667,0.0,0.0
98,T0098,E1-007,E1,1,72,53,1079.0,1132.0,1100.7052552383518,18:21,0.0,0.0,1100.7052552383518,1120.7052552383518,18:41,2321.281966666667,0.0,0.0
