route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_sequence,customer_sequence,depart_min,depart_time,return_min,return_time,total_weight_kg,total_volume_m3,total_distance_km,fixed_cost,energy_cost,carbon_cost,penalty_cost,total_cost
57,T0057,F1-001,F1,126,75,852.3878074280514,14:12,1077.7283293760659,17:58,1508.7203,3.92876,136.9422851523582,0.0,294.60909400509985,64.09199547702275,0.0,358.7010894821226
58,T0058,F1-012,F1,2->74,3->54,863.0743721633658,14:23,1222.8906369131187,20:23,2707.9042,7.26112,195.5016592509325,0.0,452.1307451718905,98.36071684222384,35.571715741262665,586.0631777553771
59,T0059,E1-003,E1,85,57,899.1181951668875,14:59,1020.848903156075,17:01,2203.217666666667,5.638176666666666,60.3135829832696,0.0,37.65820427121352,7.477679403000417,0.0,45.135883674213936
60,T0060,F1-002,F1,86,57,852.3878074280514,14:12,956.220859449116,15:56,2203.217666666667,5.638176666666666,60.3135829832696,0.0,134.4940751210037,29.259088839234913,0.0,163.75316396023862
61,T0061,F1-013,F1,87,57,853.9898116740837,14:14,957.8228636951484,15:58,2203.217666666667,5.638176666666666,60.3135829832696,0.0,134.4940751210037,29.259088839234913,0.0,163.75316396023862
62,T0062,E1-005,E1,143,92,909.0596717304095,15:09,988.3265740949769,16:28,1524.5124999999998,3.82045,34.9674723950948,0.0,21.06587269354609,4.182988684544686,0.0,25.248861378090776
63,T0063,F1-014,F1,18,12,901.3111547235633,15:01,1038.6888452815517,17:19,1726.8416000000002,4.3995500000000005,69.2528374292132,0.0,152.2654127663774,33.125230500049426,8.333333335464584,193.7239766018914
64,T0064,F1-029,F1,68,52,806.5412952173989,13:27,1075.9962252677362,17:56,2238.4627333333333,5.696406666666667,178.1755458159284,400.0,398.3070958752769,86.65142083788629,0.0,884.9585167131631
65,T0065,F1-030,F1,69->131,52->80,806.5412952173989,13:27,1167.0187946836772,19:27,2744.8032333333335,7.599286666666668,181.88055610939762,400.0,422.7851653756579,91.97660716657956,21.58096365081125,936.3427361930487
66,T0066,F1-031,F1,70,52,806.5412952173989,13:27,1075.9962252677362,17:56,2238.4627333333333,5.696406666666667,178.1755458159284,400.0,398.3070958752769,86.65142083788629,0.0,884.9585167131631
67,T0067,F1-017,F1,39,36,882.4313328610082,14:42,1080.281655124117,18:00,1654.62735,5.15388,110.7586314029998,0.0,241.51318520051262,52.5410188907633,0.0,294.0542040912759
68,T0068,F1-018,F1,53,45,882.4313328610082,14:42,1036.1342556095003,17:16,2899.9628,9.206685,84.711665689376,0.0,198.22768666389743,43.124289967991515,0.0,241.35197663188893
69,T0069,F1-004,F1,54,45,897.4225143388865,14:57,1059.5526831724005,17:40,2899.9628,9.206685,84.711665689376,0.0,199.15748368194951,43.32656663727353,0.0,242.48405031922306
70,T0070,F1-005,F1,116,69,897.4225143388865,14:57,1115.168429735125,18:35,2288.8859,6.06402,117.5249561613834,0.0,266.93290392022254,58.07106032656038,0.0,325.0039642467829
71,T0071,F1-006,F1,24->76,26->54,897.4225143388865,14:57,1242.0945687607314,20:42,2518.6993,6.69384,180.61137818649104,0.0,411.8460725561754,89.59681542974721,0.0,501.4428879859226
72,T0072,E1-009,E1,102,63,940.3564547458848,15:40,1120.2882167567234,18:40,2897.6633333333334,7.92595,94.3597395863948,0.0,61.027814499309635,12.118114507134258,0.0,73.1459290064439
73,T0073,F1-019,F1,103,63,901.3956427866566,15:01,1081.3274047974953,18:01,2897.6633333333334,7.92595,94.3597395863948,0.0,221.98969575530117,48.29369787223244,0.0,270.2833936275336
74,T0074,F1-025,F1,104,63,933.7329019190593,15:34,1113.6646639298979,18:34,2897.6633333333334,7.92595,94.3597395863948,0.0,221.98969575530117,48.29369787223244,0.0,270.2833936275336
75,T0075,E1-004,E1,108,65,958.2518177683079,15:58,1125.4967971673461,18:45,2184.1955666666668,4.921436666666667,86.8745378454326,0.0,54.1863908998027,10.759633046658994,0.0,64.9460239464617
76,T0076,F1-002,F1,109,65,956.220859449116,15:56,1123.4658388481541,18:43,2184.1955666666668,4.921436666666667,86.8745378454326,0.0,196.2327371745879,42.69029014840854,0.0,238.92302732299643
77,T0077,F1-021,F1,110,65,958.2518177683081,15:58,1125.4967971673464,18:45,2184.1955666666668,4.921436666666667,86.8745378454326,0.0,196.2327371745879,42.69029014840854,0.0,238.92302732299643
78,T0078,F1-013,F1,58,48,957.8228636951484,15:58,1099.106498530872,18:19,2866.2425333333335,6.516393333333333,71.557344553077,0.0,168.04948616539127,36.559044260330296,0.0,204.60853042572157
79,T0079,F1-015,F1,59,48,963.2936332773467,16:03,1104.5772681130704,18:25,2866.2425333333335,6.516393333333333,71.557344553077,0.0,168.04948616539127,36.559044260330296,0.0,204.60853042572157
80,T0080,F1-022,F1,60,48,958.2518177683081,15:58,1099.5354526040317,18:20,2866.2425333333335,6.516393333333333,71.557344553077,0.0,168.04948616539127,36.559044260330296,0.0,204.60853042572157
81,T0081,E1-005,E1,23,25,988.3265740949769,16:28,1122.7033720624922,18:43,2528.1351,5.33839,67.482310800834,0.0,42.83988538190721,8.506590655254929,0.0,51.346476037162134
82,T0082,F1-026,F1,142->75,91->54,933.7329019190593,15:34,1240.3266239320612,20:40,2543.3211,6.94866,157.29029598767107,0.0,350.988112402466,76.3572101823788,0.0,427.3453225848448
83,T0083,F1-027,F1,32,31,933.7329019190593,15:34,1132.066970562329,18:52,2257.2069333333334,5.148423333333334,105.2171004995292,0.0,238.6748093444462,51.92353227466465,0.0,290.59834161911084
84,T0084,F1-028,F1,33,31,966.0058215203305,16:06,1164.3398901636003,19:24,2257.2069333333334,5.148423333333334,105.2171004995292,0.0,238.6748093444462,51.92353227466465,0.0,290.59834161911084
85,T0085,E1-001,E1,49,43,992.6205806375917,16:33,1143.429182985309,19:03,2530.79035,6.80844,77.177075385153,0.0,49.00103913073822,9.729992922515185,0.0,58.73103205325341
86,T0086,E1-003,E1,50,43,1020.848903156075,17:01,1171.6575055037922,19:32,2530.79035,6.80844,77.177075385153,0.0,49.00103913073822,9.729992922515185,0.0,58.73103205325341
87,T0087,E1-008,E1,51,44,993.1091715381938,16:33,1170.2749349531007,19:30,2276.15445,5.812015,92.727800414795,0.0,58.11244744106249,11.539218603159757,0.0,69.65166604422225
88,T0088,E1-010,E1,52,44,1007.4320624529669,16:47,1184.5978258678738,19:45,2276.15445,5.812015,92.727800414795,0.0,58.11244744106249,11.539218603159757,0.0,69.65166604422225
89,T0089,F1-032,F1,132->28,81->28,927.7427831510364,15:28,1290.9015383562873,21:31,2972.26805,7.62818,135.99024940400682,400.0,320.17123158532263,69.65302003299355,30.8889356876222,820.7131873059384
90,T0090,F1-023,F1,67->29,51->29,1014.5616081031903,16:55,1245.205376669784,20:45,2578.13715,6.927294999999999,112.4798234542903,0.0,253.9194227372031,55.239986900469994,0.0,309.1594096376731
91,T0091,E1-002,E1,66,51,1038.0677617033066,17:18,1193.2155104790227,19:53,1704.19215,4.879655,79.7371717776724,0.0,48.49939054979255,9.630382032036554,0.0,58.1297725818291
92,T0092,F1-033,F1,26,27,938.1118716592564,15:38,1223.888128340744,20:24,1616.80205,3.819855,156.8079914420778,400.0,342.50379359766185,74.5114527582929,0.0,817.0152463559547
93,T0093,F1-007,F1,44,40,1029.8632469516947,17:10,1234.4197070682885,20:34,2691.1358,7.9507,108.8883114687904,0.0,253.21342484914865,55.08639757017189,0.0,308.29982241932055
94,T0094,F1-014,F1,1->119->3,2->71->4,1038.6888452815517,17:19,1314.1501399256188,21:54,2991.9865,8.47345,127.1221638399997,0.0,311.4334316921984,67.75211798134286,0.0,379.18554967354123
95,T0095,F1-018,F1,77,55,1036.1342556095003,17:16,1280.0098691644419,21:20,2439.52946,6.159698000000001,132.0866119974154,0.0,302.79124351400054,65.87201618917261,0.0,368.66325970317314
96,T0096,F1-024,F1,78,55,1014.5616081031903,16:55,1258.4372216581319,20:58,2439.52946,6.159698000000001,132.0866119974154,0.0,302.79124351400054,65.87201618917261,0.0,368.66325970317314
97,T0097,F1-034,F1,79,55,963.0621932225292,16:03,1206.9378067774708,20:07,2439.52946,6.159698000000001,132.0866119974154,400.0,302.79124351400054,65.87201618917261,0.0,768.6632597031733
98,T0098,F1-035,F1,80,55,963.0621932225292,16:03,1206.9378067774708,20:07,2439.52946,6.159698000000001,132.0866119974154,400.0,302.79124351400054,65.87201618917261,0.0,768.6632597031733
99,T0099,F1-036,F1,81,55,963.0621932225292,16:03,1206.9378067774708,20:07,2439.52946,6.159698000000001,132.0866119974154,400.0,302.79124351400054,65.87201618917261,0.0,768.6632597031733
100,T0100,F1-001,F1,71,53,1077.7283293760659,17:58,1167.9439989012724,19:28,2321.281966666667,6.252913333333333,41.4272450198718,0.0,94.32261492720556,20.51981670732394,0.0,114.8424316345295
101,T0101,F1-004,F1,72,53,1059.5526831724005,17:40,1149.768352697607,19:10,2321.281966666667,6.252913333333333,41.4272450198718,0.0,94.32261492720556,20.51981670732394,0.0,114.8424316345295
102,T0102,F1-009,F1,73,53,1085.4283509819265,18:05,1175.644020507133,19:36,2321.281966666667,6.252913333333333,41.4272450198718,0.0,94.32261492720556,20.51981670732394,0.0,114.8424316345295
103,T0103,E1-006,E1,113,68,1098.1509202697525,18:18,1290.6543455237284,21:31,2471.6624666666667,5.810966666666666,101.7770208998458,0.0,64.42575221385513,12.792833053928003,0.0,77.21858526778314
104,T0104,F1-010,F1,114,68,1085.4283509819265,18:05,1277.9317762359024,21:18,2471.6624666666667,5.810966666666666,101.7770208998458,0.0,233.74036260612735,50.85004695303208,0.0,284.5904095591594
105,T0105,F1-013,F1,115,68,1099.106498530872,18:19,1291.6099237848478,21:32,2471.6624666666667,5.810966666666666,101.7770208998458,0.0,233.74036260612735,50.85004695303208,0.0,284.5904095591594
106,T0106,E1-004,E1,112,67,1125.4967971673461,18:45,1318.2227015215112,21:58,2860.4382,8.92494,101.9082835689574,0.0,65.78746037491965,13.063223457983284,0.0,78.85068383290293
107,T0107,E1-001,E1,57,47,1143.429182985309,19:03,1219.4641107827558,20:19,2784.5018,8.09606,33.0606074004938,0.0,21.261439221303448,4.221821757571627,0.0,25.483260978875073
108,T0108,F1-005,F1,99,62,1115.168429735125,18:35,1300.8509974091482,21:41,2934.7648000000004,8.376146666666667,97.7527149276738,0.0,230.44869948842071,50.133948020769374,0.0,280.5826475091901
109,T0109,F1-015,F1,100,62,1104.5772681130704,18:25,1290.2598357870936,21:30,2934.7648000000004,8.376146666666667,97.7527149276738,0.0,230.44869948842071,50.133948020769374,0.0,280.5826475091901
110,T0110,F1-017,F1,101,62,1080.281655124117,18:00,1265.96422279814,21:06,2934.7648000000004,8.376146666666667,97.7527149276738,0.0,230.44869948842071,50.133948020769374,0.0,280.5826475091901
111,T0111,E1-005,E1,121,72,1122.7033720624922,18:43,1283.497715692003,21:23,2725.3232,7.50056,83.0686627414114,0.0,53.26321778796455,10.576321263811376,0.0,63.83953905177593
112,T0112,F1-008,F1,120,71,1118.167034321635,18:38,1391.3912463202685,23:11,1533.5344,5.0218,149.4022850791938,0.0,324.6928245456744,70.63668931361252,0.0,395.3295138592869
113,T0113,E1-009,E1,27,28,1120.2882167567234,18:40,1348.0912934692983,22:28,1628.6557500000001,3.98015,122.6038152604192,0.0,74.27374947181212,14.748321046033917,0.0,89.02207051784605
114,T0114,F1-002,F1,4->15,5->10,1123.4658388481541,18:43,1324.602040745745,22:05,2611.593,9.591135,95.07035911957847,0.0,218.4259367337305,47.518404672736864,0.0,265.9443414064674
115,T0115,E1-007,E1,16,10,1142.6148597429558,19:03,1329.1865566491804,22:09,1879.9925,7.278745,98.2773011746724,0.0,60.333828469662635,11.980311732405879,0.0,72.31414020206851
116,T0116,F1-019,F1,63,50,1089.5233166436117,18:10,1348.4766833563883,22:28,2650.7700333333332,7.165916666666667,140.9824863605382,0.0,327.09851318051244,71.16004513745037,0.0,398.2585583179628
117,T0117,F1-021,F1,64,50,1125.4967971673464,18:45,1384.450163880123,23:04,2650.7700333333332,7.165916666666667,140.9824863605382,0.0,327.09851318051244,71.16004513745037,0.0,398.2585583179628
