iteration,current_cost,current_score,best_cost,best_score,candidate_cost,candidate_score,candidate_late_stop_count,candidate_max_late_min,candidate_return_after_midnight_count,accepted,destroy_operator,repair_operator
22,52606.15291801841,64290.28396168878,51600.864304358765,67190.69615132204,52085.68332030845,1063638.6021506868,18,139.55386894726303,1,False,actual_late_remove,regret2_insert
23,52606.15291801841,64290.28396168878,51600.864304358765,67190.69615132204,53016.94840468322,1065187.0740819555,19,138.59700233074432,1,False,random_remove,greedy_insert
24,52606.15291801841,64290.28396168878,51600.864304358765,67190.69615132204,53238.24609092127,65199.242811801654,19,125.23097803248993,0,False,late_route_split,regret2_insert
25,52190.45045788644,64109.94789318922,51600.864304358765,67190.69615132204,52190.45045788644,64109.94789318922,18,157.96991569876843,0,True,random_remove,regret2_insert
26,52190.45045788644,64109.94789318922,51600.864304358765,67190.69615132204,52190.45045788644,64109.94789318922,18,157.96991569876843,0,True,related_remove,time_oriented_insert
27,51720.498236951484,63639.995672254256,51600.864304358765,67190.69615132204,51720.498236951484,63639.995672254256,18,157.96991569876843,0,True,related_remove,time_oriented_insert
28,51972.37993798372,63233.015386582585,51600.864304358765,67190.69615132204,51972.37993798372,63233.015386582585,17,157.96991569876843,0,True,late_route_split,greedy_insert
29,52479.87668961674,64996.20278597635,51600.864304358765,67190.69615132204,52479.87668961674,64996.20278597635,19,157.96991569876843,0,True,worst_cost_remove,greedy_insert
30,51710.06418574908,64741.198589458436,51600.864304358765,67190.69615132204,51710.06418574908,64741.198589458436,20,157.96991569876843,0,True,related_remove,greedy_insert
31,51710.06418574908,64741.198589458436,51600.864304358765,67190.69615132204,51710.06418574908,64741.198589458436,20,157.96991569876843,0,True,time_penalty_remove,time_oriented_insert
32,51710.06418574908,64741.198589458436,51095.68186453864,1062387.0322327882,51095.68186453864,1062387.0322327882,17,162.9994864680108,1,False,actual_late_remove,time_oriented_insert
33,51710.06418574908,64741.198589458436,51095.68186453864,1062387.0322327882,51710.06418574908,64741.198589458436,20,157.96991569876843,0,True,time_penalty_remove,greedy_insert
34,51667.8631816456,63479.991133304575,51095.68186453864,1062387.0322327882,51667.8631816456,63479.991133304575,18,157.96991569876843,0,True,late_route_split,regret2_insert
35,51667.8631816456,63479.991133304575,51095.68186453864,1062387.0322327882,51667.8631816456,63479.991133304575,18,157.96991569876843,0,True,late_suffix_remove,time_oriented_insert
36,52265.03330207486,64221.63217829902,51095.68186453864,1062387.0322327882,52265.03330207486,64221.63217829902,18,157.96991569876843,0,True,midnight_route_remove,regret2_insert
37,52265.03330207486,64221.63217829902,51095.68186453864,1062387.0322327882,52392.45057232103,65744.17018080917,20,182.86009720759364,0,False,midnight_route_remove,time_oriented_insert
38,53257.474746761014,66273.90914477779,51095.68186453864,1062387.0322327882,53257.474746761014,66273.90914477779,20,157.96991569876843,0,True,random_remove,greedy_insert
