iteration,current_cost,current_score,best_cost,best_score,candidate_cost,candidate_score,candidate_late_stop_count,candidate_max_late_min,candidate_return_after_midnight_count,accepted,destroy_operator,repair_operator
12,54091.1707322798,74702.34184773074,54071.078126023625,1070595.080942478,54091.1707322798,74702.34184773074,32,268.0000002929088,0,True,late_route_split,ev_priority_insert
13,52578.535878195726,72724.71510919757,52578.535878195726,72724.71510919757,52578.535878195726,72724.71510919757,31,268.0000002929088,0,True,worst_cost_remove,post_16_fuel_repair
14,54722.228655121784,71939.9013035413,52578.535878195726,72724.71510919757,54722.228655121784,71939.9013035413,25,268.0000002929088,0,True,random_remove,time_oriented_insert
15,54477.10934542263,70979.8436546843,52578.535878195726,72724.71510919757,54477.10934542263,70979.8436546843,24,268.0000002929088,0,True,late_route_split,greedy_insert
16,54477.10934542263,70979.8436546843,52578.535878195726,72724.71510919757,54487.35117250328,1070376.680122422,23,268.0000002929088,1,False,green_fuel_route_split,regret2_insert
17,54477.10934542263,70979.8436546843,52578.535878195726,72724.71510919757,53604.272741415785,1068896.580527395,24,193.3052051663126,1,False,actual_late_remove,regret2_insert
18,54556.53737961616,72250.18252229122,52578.535878195726,72724.71510919757,54556.53737961616,72250.18252229122,25,268.0000002929088,0,True,related_remove,ev_priority_insert
19,53904.22273547972,71238.11838034469,52578.535878195726,72724.71510919757,53904.22273547972,71238.11838034469,26,268.0000002929088,0,True,random_remove,time_oriented_insert
20,53904.22273547972,71238.11838034469,52578.535878195726,72724.71510919757,54314.464562560366,1071034.9548480825,25,268.0000002929088,1,False,green_fuel_route_split,ev_priority_insert
21,53904.22273547972,71238.11838034469,52578.535878195726,72724.71510919757,53372.217111916696,1068206.7262624311,24,125.23097803248993,1,False,policy_conflict_remove,time_oriented_insert
22,53969.81138578196,69919.49541816904,52578.535878195726,72724.71510919757,53969.81138578196,69919.49541816904,23,268.0000002929088,0,True,random_remove,post_16_fuel_repair
23,54023.560748838216,70008.04917702467,52578.535878195726,72724.71510919757,54023.560748838216,70008.04917702467,23,268.0000002929088,0,True,worst_cost_remove,ev_priority_insert
24,53196.52164589297,66205.00849188429,52578.535878195726,72724.71510919757,53196.52164589297,66205.00849188429,20,150.80810512338394,0,True,policy_conflict_remove,regret2_insert
25,53850.40047918938,66841.15390881279,52578.535878195726,72724.71510919757,53850.40047918938,66841.15390881279,20,150.80810512338394,0,True,green_fuel_route_split,greedy_insert
26,53629.38970172164,66741.84129007015,52578.535878195726,72724.71510919757,53629.38970172164,66741.84129007015,20,150.80810512338394,0,True,late_suffix_remove,greedy_insert
27,53629.38970172164,66741.84129007015,52578.535878195726,72724.71510919757,54564.04408874337,67676.4956770919,20,150.80810512338394,0,False,late_route_split,regret2_insert
28,53629.38970172164,66741.84129007015,52578.535878195726,72724.71510919757,53184.745316751876,1065640.8393385569,19,150.80810512338394,1,False,late_suffix_remove,ev_priority_insert
29,53645.76084473874,67848.65276287922,52578.535878195726,72724.71510919757,53645.76084473874,67848.65276287922,22,150.80810512338394,0,True,worst_cost_remove,ev_priority_insert
30,53670.585710089406,68288.0823773504,52578.535878195726,72724.71510919757,53670.585710089406,68288.0823773504,23,137.2902151042481,0,True,related_remove,regret2_insert
31,53855.354100970224,67962.75182977715,52578.535878195726,72724.71510919757,53855.354100970224,67962.75182977715,22,137.2902151042481,0,True,time_penalty_remove,regret2_insert
32,53855.354100970224,67962.75182977715,52578.535878195726,72724.71510919757,53855.354100970224,67962.75182977715,22,137.2902151042481,0,True,related_remove,regret2_insert
33,53855.354100970224,67962.75182977715,52578.535878195726,72724.71510919757,53855.354100970224,67962.75182977715,22,137.2902151042481,0,True,worst_cost_remove,regret2_insert
34,53819.33724568668,67340.51234347536,52578.535878195726,72724.71510919757,53819.33724568668,67340.51234347536,21,137.2902151042481,0,True,green_fuel_route_split,greedy_insert
35,53911.684087906535,65926.98637737166,52578.535878195726,72724.71510919757,53911.684087906535,65926.98637737166,17,215.68016873073088,0,True,actual_late_remove,ev_priority_insert
36,54318.12201266144,66333.42430212657,52578.535878195726,72724.71510919757,54318.12201266144,66333.42430212657,17,215.68016873073088,0,True,time_penalty_remove,greedy_insert
37,54318.12201266144,66333.42430212657,52578.535878195726,72724.71510919757,54318.12201266144,66333.42430212657,17,215.68016873073088,0,True,worst_cost_remove,time_oriented_insert
