iteration,current_cost,current_score,best_cost,best_score,candidate_cost,candidate_score,candidate_late_stop_count,candidate_max_late_min,candidate_return_after_midnight_count,accepted,destroy_operator,repair_operator
13,56258.88099016455,67911.17879820327,56258.88099016455,67911.17879820327,56258.88099016455,67911.17879820327,20,109.8696473618611,0,True,related_remove,time_oriented_insert
14,56258.88099016455,67911.17879820327,56258.88099016455,67911.17879820327,56258.88099016455,67911.17879820327,20,109.8696473618611,0,True,worst_cost_remove,regret2_insert
15,55635.3949371337,68422.29797670158,55635.3949371337,68422.29797670158,55635.3949371337,68422.29797670158,22,109.8696473618611,0,True,midnight_route_remove,regret2_insert
16,55684.04425744572,67201.81197572533,55635.3949371337,68422.29797670158,55684.04425744572,67201.81197572533,20,95.78194712341588,0,True,late_suffix_remove,greedy_insert
17,56058.01265785693,66942.68790834669,55635.3949371337,68422.29797670158,56058.01265785693,66942.68790834669,19,95.78194712341588,0,True,actual_late_remove,time_oriented_insert
18,56058.01265785693,66942.68790834669,55635.3949371337,68422.29797670158,56058.01265785693,66942.68790834669,19,95.78194712341588,0,True,time_penalty_remove,regret2_insert
19,55990.60786211288,67051.32668949697,55635.3949371337,68422.29797670158,55990.60786211288,67051.32668949697,19,95.78194712341588,0,True,late_suffix_remove,greedy_insert
20,55990.60786211288,67051.32668949697,55635.3949371337,68422.29797670158,55990.60786211288,67051.32668949697,19,95.78194712341588,0,True,time_penalty_remove,greedy_insert
21,55990.60786211288,67051.32668949697,55635.3949371337,68422.29797670158,55990.60786211288,67051.32668949697,19,95.78194712341588,0,True,time_penalty_remove,time_oriented_insert
22,55367.74777769748,66281.30353643851,55367.74777769748,66281.30353643851,55367.74777769748,66281.30353643851,19,95.78194712341588,0,True,late_route_split,time_oriented_insert
23,55661.37487783705,66305.55064317599,55367.74777769748,66281.30353643851,55661.37487783705,66305.55064317599,19,88.22546441437987,0,True,late_route_split,regret2_insert
24,55610.32812853928,66254.50389387822,55367.74777769748,66281.30353643851,55610.32812853928,66254.50389387822,19,88.22546441437987,0,True,random_remove,time_oriented_insert
25,55940.06989554242,66817.18866332315,55367.74777769748,66281.30353643851,55940.06989554242,66817.18866332315,19,95.78194712341588,0,True,midnight_route_remove,regret2_insert
26,55940.06989554242,66817.18866332315,55367.74777769748,66281.30353643851,55940.06989554242,66817.18866332315,19,95.78194712341588,0,True,random_remove,regret2_insert
27,55856.39448402938,67090.07493175611,55367.74777769748,66281.30353643851,55856.39448402938,67090.07493175611,19,108.22546441437987,0,True,actual_late_remove,greedy_insert
28,55856.39448402938,67090.07493175611,54773.56855288222,74442.88915511205,54773.56855288222,74442.88915511205,30,258.79098473407635,0,False,related_remove,time_oriented_insert
29,55856.39448402938,67090.07493175611,54773.56855288222,74442.88915511205,55856.39448402938,67090.07493175611,19,108.22546441437987,0,True,time_penalty_remove,regret2_insert
30,55856.39448402938,67090.07493175611,54773.56855288222,74442.88915511205,55856.39448402938,67090.07493175611,19,108.22546441437987,0,True,time_penalty_remove,greedy_insert
31,55856.39448402938,67090.07493175611,54773.56855288222,74442.88915511205,55856.39448402938,67090.07493175611,19,108.22546441437987,0,True,worst_cost_remove,time_oriented_insert
32,55856.39448402938,67090.07493175611,54773.56855288222,74442.88915511205,55856.39448402938,67090.07493175611,19,108.22546441437987,0,True,time_penalty_remove,time_oriented_insert
33,55856.39448402938,67090.07493175611,54773.56855288222,74442.88915511205,55856.39448402938,67090.07493175611,19,108.22546441437987,0,True,time_penalty_remove,time_oriented_insert
34,55856.39448402938,67090.07493175611,54773.56855288222,74442.88915511205,55856.39448402938,67090.07493175611,19,108.22546441437987,0,True,time_penalty_remove,regret2_insert
35,55856.39448402938,67090.07493175611,54773.56855288222,74442.88915511205,55856.39448402938,67090.07493175611,19,108.22546441437987,0,True,time_penalty_remove,time_oriented_insert
36,56045.99816175864,67292.5763731094,54773.56855288222,74442.88915511205,56045.99816175864,67292.5763731094,19,108.22546441437987,0,True,random_remove,regret2_insert
37,56045.99816175864,67292.5763731094,54773.56855288222,74442.88915511205,54952.424094258124,74621.74469648795,30,258.79098473407635,0,False,related_remove,time_oriented_insert
38,56084.264688181705,66911.88288406281,54773.56855288222,74442.88915511205,56084.264688181705,66911.88288406281,19,95.78194712341588,0,True,late_route_split,greedy_insert
