route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_sequence,customer_sequence,depart_min,depart_time,return_min,return_time,total_weight_kg,total_volume_m3,total_distance_km,fixed_cost,energy_cost,carbon_cost,penalty_cost,total_cost
44,T0044,F1-020,F1,87->151,56->95,656.6634364689803,10:57,1107.9179497666207,18:28,2464.4036333333333,6.207266666666667,237.40682951227438,400.0,521.8632342861519,113.5309694510432,0.0,1035.394203737195
45,T0045,F1-004,F1,88,56,791.1577520526196,13:11,1033.9336832346346,17:14,2355.0536333333334,5.909806666666667,160.90381163327,0.0,361.86447094143347,78.72335412182525,0.0,440.5878250632587
46,T0046,F1-021,F1,89,56,656.6634364689803,10:57,958.2518177683081,15:58,2355.0536333333334,5.909806666666667,160.90381163327,400.0,367.22952509337574,79.8905177750773,0.0,847.1200428684531
47,T0047,F1-022,F1,47,39,656.590934269691,10:57,1014.5616081031903,16:55,2012.4458,5.003585,194.1693642284312,400.0,434.0731796414362,94.43230651187643,0.0,928.5054861533125
48,T0048,F1-023,F1,48,39,656.590934269691,10:57,1014.5616081031903,16:55,2012.4458,5.003585,194.1693642284312,400.0,434.0731796414362,94.43230651187643,0.0,928.5054861533125
49,T0049,F1-008,F1,110,64,835.144407454895,13:55,989.8978002602796,16:30,2949.9224,7.1290933333333335,96.9481575978232,0.0,225.46744372015604,49.05027942850254,0.0,274.5177231486586
50,T0050,F1-009,F1,111,64,835.144407454895,13:55,989.8978002602796,16:30,2949.9224,7.1290933333333335,96.9481575978232,0.0,225.46744372015604,49.05027942850254,0.0,274.5177231486586
51,T0051,F1-015,F1,112,64,834.1650037135203,13:54,988.9183965189048,16:29,2949.9224,7.1290933333333335,96.9481575978232,0.0,225.46744372015604,49.05027942850254,0.0,274.5177231486586
52,T0052,F1-024,F1,93,58,793.7467254643815,13:14,966.0058215203305,16:06,2933.964,9.72773,118.4402027273234,400.0,274.2240542107692,59.6572448027121,0.0,733.8812990134813
53,T0053,F1-002,F1,130,75,852.3878074280514,14:12,1077.7283293760659,17:58,1508.7203,3.92876,136.9422851523582,0.0,294.60909400509985,64.09199547702275,0.0,358.7010894821226
54,T0054,F1-010,F1,131,75,853.9898116740837,14:14,1080.230895331026,18:00,1508.7203,3.92876,136.9422851523582,0.0,294.6951631062839,64.11071974778034,0.0,358.8058828540643
55,T0055,F1-011,F1,90,57,853.9898116740837,14:14,957.8228636951484,15:58,2203.217666666667,5.638176666666666,60.3135829832696,0.0,134.4940751210037,29.259088839234913,0.0,163.75316396023862
56,T0056,F1-012,F1,91,57,853.9898116740837,14:14,957.8228636951484,15:58,2203.217666666667,5.638176666666666,60.3135829832696,0.0,134.4940751210037,29.259088839234913,0.0,163.75316396023862
57,T0057,F1-017,F1,92,57,882.4313328610082,14:42,994.7815730567776,16:35,2203.217666666667,5.638176666666666,60.3135829832696,0.0,135.37083910899088,29.44982821115504,0.0,164.82066732014593
58,T0058,F1-018,F1,148,92,882.4313328610082,14:42,951.8220635852949,15:52,1524.5124999999998,3.82045,34.9674723950948,0.0,75.00705300453356,16.317730171045405,0.0,91.32478317557897
59,T0059,E1-005,E1,73,52,858.6164298779064,14:19,1157.3452350622579,19:17,2238.4627333333333,5.696406666666667,178.1755458159284,0.0,111.52548072187003,22.145288290900595,0.0,133.67076901277062
60,T0060,F1-025,F1,74,52,806.5412952173989,13:27,1075.9962252677362,17:56,2238.4627333333333,5.696406666666667,178.1755458159284,400.0,398.3070958752769,86.65142083788629,0.0,884.9585167131631
61,T0061,F1-026,F1,75,52,806.5412952173989,13:27,1075.9962252677362,17:56,2238.4627333333333,5.696406666666667,178.1755458159284,400.0,398.3070958752769,86.65142083788629,0.0,884.9585167131631
62,T0062,E1-006,E1,43,36,883.6914882645717,14:44,1082.2502029720565,18:02,1654.62735,5.15388,110.7586314029998,0.0,67.22045796297958,13.347769594905063,0.0,80.56822755788464
63,T0063,F1-027,F1,44,36,850.1562578283911,14:10,1029.8632469516954,17:10,1654.62735,5.15388,110.7586314029998,400.0,239.75109379616788,52.15767717927014,0.0,691.9087709754381
64,T0064,F1-028,F1,58->29->145,45->26->89,877.7296569497056,14:38,1240.375594472253,20:40,2992.024,9.616185,185.9474335833172,400.0,399.5949129458769,86.9315845108471,35.8436178307998,922.3701152875237
65,T0065,E1-003,E1,59->147,45->91,911.9326410320188,15:12,1183.7330314285457,19:44,2970.3977999999997,9.597705,136.7622303339508,0.0,83.94678183102346,16.66906677028829,0.0,100.61584860131174
66,T0066,F1-005,F1,121,69,897.4225143388865,14:57,1115.168429735125,18:35,2288.8859,6.06402,117.5249561613834,0.0,266.93290392022254,58.07106032656038,0.0,325.0039642467829
